adduct	mass	charge
M+H	1.00727	1
M+Na	22.989215	1
M+NH4	18.033819	1
M+2Na	45.97843	2
M+H-H2O	-17.003295	1
M+2H	2.01454	2
M+3H	3.02181	3
M+4H	4.02908	4
M+K	38.963153	1
M+2K	77.926306	2
M+2Na	45.97843	2
M+2Na-H	44.97116	1
M+2K-H	76.919036	1
M+Ag	106.90454	1
M+Li	7.01545	1
M+2Li	14.0309	2
M+H+CH3CN	42.033819	1
M+Na+CH3CN	64.015764	1
M.NaFormate+H	68.994695	1
M.NH4Formate+H	64.039299	1
M-H	-1.00727	1
M-H-H2O	-19.017835	1
M-CH3	-15.02292	1
M-2H	-2.01454	2
M-3H	-3.02181	3
M-4H	-4.02908	4
M.Cl	34.969408	1
M.OAc	59.01386	1
M+Na-2H	20.974675	1
M+K-2H	36.948613	1
M.Formate	44.99821	1
M.NaFormate-H	66.980155	1
M.NH4Formate-H	62.024759	1
M.F	118.998958	1
M.HF2	39.005186	1
